#,,,
# The Tor Project,,,
#,,,
# URL: https://metrics.torproject.org/userstats-bridge-country.csv?start=2017-01-01&end=2019-12-31&country=eg,,,
#,,,
date,country,users,frac
1/1/17,eg,564,56
1/2/17,eg,654,54
1/3/17,eg,598,59
1/4/17,eg,528,57
1/5/17,eg,508,59
1/6/17,eg,422,61
1/7/17,eg,403,64
1/8/17,eg,426,69
1/9/17,eg,489,61
1/10/17,eg,519,58
1/11/17,eg,478,59
1/12/17,eg,472,62
1/13/17,eg,413,64
1/14/17,eg,457,63
1/15/17,eg,485,66
1/16/17,eg,480,65
1/17/17,eg,447,67
1/18/17,eg,426,66
1/19/17,eg,395,66
1/20/17,eg,363,66
1/21/17,eg,405,65
1/22/17,eg,469,61
1/23/17,eg,426,64
1/24/17,eg,414,60
1/25/17,eg,381,66
1/26/17,eg,368,66
1/27/17,eg,369,66
1/28/17,eg,390,66
1/29/17,eg,405,67
1/30/17,eg,444,69
1/31/17,eg,517,66
2/1/17,eg,495,67
2/2/17,eg,475,68
2/3/17,eg,469,66
2/4/17,eg,494,64
2/5/17,eg,476,58
2/6/17,eg,469,65
2/7/17,eg,556,57
2/8/17,eg,555,51
2/9/17,eg,453,63
2/10/17,eg,452,65
2/11/17,eg,428,65
2/12/17,eg,429,64
2/13/17,eg,441,62
2/14/17,eg,480,53
2/15/17,eg,454,58
2/16/17,eg,495,54
2/17/17,eg,498,60
2/18/17,eg,448,60
2/19/17,eg,469,62
2/20/17,eg,462,62
2/21/17,eg,470,63
2/22/17,eg,444,64
2/23/17,eg,461,61
2/24/17,eg,530,52
2/25/17,eg,416,65
2/26/17,eg,436,66
2/27/17,eg,484,66
2/28/17,eg,461,65
3/1/17,eg,431,65
3/2/17,eg,408,66
3/3/17,eg,448,65
3/4/17,eg,401,64
3/5/17,eg,412,63
3/6/17,eg,426,65
3/7/17,eg,409,65
3/8/17,eg,739,34
3/9/17,eg,428,55
3/10/17,eg,330,65
3/11/17,eg,353,65
3/12/17,eg,346,65
3/13/17,eg,353,67
3/14/17,eg,351,67
3/15/17,eg,370,67
3/16/17,eg,379,65
3/17/17,eg,421,63
3/18/17,eg,433,64
3/19/17,eg,364,62
3/20/17,eg,385,63
3/21/17,eg,421,64
3/22/17,eg,391,62
3/23/17,eg,403,65
3/24/17,eg,442,64
3/25/17,eg,426,63
3/26/17,eg,439,64
3/27/17,eg,450,63
3/28/17,eg,458,62
3/29/17,eg,521,62
3/30/17,eg,493,57
3/31/17,eg,473,56
4/1/17,eg,468,53
4/2/17,eg,526,53
4/3/17,eg,559,50
4/4/17,eg,550,53
4/5/17,eg,498,51
4/6/17,eg,504,50
4/7/17,eg,526,52
4/8/17,eg,546,51
4/9/17,eg,594,51
4/10/17,eg,689,51
4/11/17,eg,745,51
4/12/17,eg,736,50
4/13/17,eg,722,50
4/14/17,eg,704,48
4/15/17,eg,779,46
4/16/17,eg,754,47
4/17/17,eg,803,48
4/18/17,eg,877,48
4/19/17,eg,805,48
4/20/17,eg,785,48
4/21/17,eg,610,47
4/22/17,eg,672,47
4/23/17,eg,700,47
4/24/17,eg,745,47
4/25/17,eg,758,45
4/26/17,eg,762,46
4/27/17,eg,707,45
4/28/17,eg,650,44
4/29/17,eg,699,40
4/30/17,eg,755,43
5/1/17,eg,710,46
5/2/17,eg,754,46
5/3/17,eg,765,46
5/4/17,eg,731,46
5/5/17,eg,666,45
5/6/17,eg,966,34
5/7/17,eg,646,48
5/8/17,eg,530,55
5/9/17,eg,512,56
5/10/17,eg,519,55
5/11/17,eg,591,53
5/12/17,eg,686,52
5/13/17,eg,800,57
5/14/17,eg,796,57
5/15/17,eg,812,58
5/16/17,eg,814,58
5/17/17,eg,830,57
5/18/17,eg,808,58
5/19/17,eg,718,59
5/20/17,eg,679,58
5/21/17,eg,710,57
5/22/17,eg,721,53
5/23/17,eg,745,58
5/24/17,eg,770,59
5/25/17,eg,824,59
5/26/17,eg,776,58
5/27/17,eg,749,57
