date,country,users,frac
1/1/17,iq,46,56
1/2/17,iq,50,54
1/3/17,iq,38,59
1/4/17,iq,38,57
1/5/17,iq,40,59
1/6/17,iq,38,61
1/7/17,iq,34,64
1/8/17,iq,29,69
1/9/17,iq,30,61
1/10/17,iq,32,58
1/11/17,iq,29,59
1/12/17,iq,32,62
1/13/17,iq,37,64
1/14/17,iq,36,63
1/15/17,iq,30,66
1/16/17,iq,29,65
1/17/17,iq,33,67
1/18/17,iq,32,66
1/19/17,iq,34,66
1/20/17,iq,37,66
1/21/17,iq,38,65
1/22/17,iq,39,61
1/23/17,iq,35,64
1/24/17,iq,38,60
1/25/17,iq,37,66
1/26/17,iq,33,66
1/27/17,iq,36,66
1/28/17,iq,35,66
1/29/17,iq,39,67
1/30/17,iq,44,69
1/31/17,iq,46,66
2/1/17,iq,39,67
2/2/17,iq,38,68
2/3/17,iq,37,66
2/4/17,iq,39,64
2/5/17,iq,40,58
2/6/17,iq,45,65
2/7/17,iq,45,57
2/8/17,iq,47,51
2/9/17,iq,41,63
2/10/17,iq,42,65
2/11/17,iq,42,65
2/12/17,iq,46,64
2/13/17,iq,48,62
2/14/17,iq,49,53
2/15/17,iq,43,58
2/16/17,iq,52,54
2/17/17,iq,50,60
2/18/17,iq,46,60
2/19/17,iq,44,62
2/20/17,iq,50,62
2/21/17,iq,46,63
2/22/17,iq,42,64
2/23/17,iq,40,61
2/24/17,iq,46,52
2/25/17,iq,37,65
2/26/17,iq,41,66
2/27/17,iq,43,66
2/28/17,iq,37,65
3/1/17,iq,40,65
3/2/17,iq,42,66
3/3/17,iq,43,65
3/4/17,iq,38,64
3/5/17,iq,39,63
3/6/17,iq,37,65
3/7/17,iq,32,65
3/8/17,iq,46,34
3/9/17,iq,32,55
3/10/17,iq,26,65
3/11/17,iq,35,65
3/12/17,iq,37,65
3/13/17,iq,33,67
3/14/17,iq,37,67
3/15/17,iq,42,67
3/16/17,iq,36,65
3/17/17,iq,39,63
3/18/17,iq,41,64
3/19/17,iq,38,62
3/20/17,iq,35,63
3/21/17,iq,44,64
3/22/17,iq,45,62
3/23/17,iq,37,65
3/24/17,iq,34,64
3/25/17,iq,34,63
3/26/17,iq,39,64
3/27/17,iq,34,63
3/28/17,iq,33,62
3/29/17,iq,34,62
3/30/17,iq,36,57
3/31/17,iq,37,56
4/1/17,iq,36,53
4/2/17,iq,38,53
4/3/17,iq,30,50
4/4/17,iq,35,53
4/5/17,iq,34,51
4/6/17,iq,32,50
4/7/17,iq,29,52
4/8/17,iq,32,51
4/9/17,iq,32,51
4/10/17,iq,39,51
4/11/17,iq,43,51
4/12/17,iq,44,50
4/13/17,iq,46,50
4/14/17,iq,49,48
4/15/17,iq,46,46
4/16/17,iq,45,47
4/17/17,iq,42,48
4/18/17,iq,37,48
4/19/17,iq,33,48
4/20/17,iq,33,48
4/21/17,iq,41,47
4/22/17,iq,34,47
4/23/17,iq,30,47
4/24/17,iq,38,47
4/25/17,iq,43,45
4/26/17,iq,45,46
4/27/17,iq,37,45
4/28/17,iq,39,44
4/29/17,iq,39,40
4/30/17,iq,41,43
5/1/17,iq,37,46
5/2/17,iq,44,46
5/3/17,iq,42,46
5/4/17,iq,36,46
5/5/17,iq,34,45
5/6/17,iq,54,34
5/7/17,iq,37,48
5/8/17,iq,35,55
5/9/17,iq,35,56
5/10/17,iq,34,55
5/11/17,iq,40,53
5/12/17,iq,44,52
5/13/17,iq,42,57
5/14/17,iq,51,57
5/15/17,iq,49,58
5/16/17,iq,38,58
5/17/17,iq,35,57
5/18/17,iq,34,58
5/19/17,iq,32,59
5/20/17,iq,32,58
5/21/17,iq,32,57
5/22/17,iq,31,53
5/23/17,iq,32,58
5/24/17,iq,37,59
5/25/17,iq,36,59
5/26/17,iq,36,58
5/27/17,iq,36,57
5/28/17,iq,37,57
5/29/17,iq,36,58
