#,,,
# The Tor Project,,,
#,,,
# URL: https://metrics.torproject.org/userstats-bridge-country.csv?start=2017-01-01&end=2019-12-31&country=jo,,,
#,,,
date,country,users,frac
1/1/17,jo,68,56
1/2/17,jo,71,54
1/3/17,jo,66,59
1/4/17,jo,66,57
1/5/17,jo,72,59
1/6/17,jo,66,61
1/7/17,jo,62,64
1/8/17,jo,66,69
1/9/17,jo,72,61
1/10/17,jo,77,58
1/11/17,jo,72,59
1/12/17,jo,69,62
1/13/17,jo,76,64
1/14/17,jo,85,63
1/15/17,jo,77,66
1/16/17,jo,80,65
1/17/17,jo,68,67
1/18/17,jo,69,66
1/19/17,jo,72,66
1/20/17,jo,69,66
1/21/17,jo,72,65
1/22/17,jo,75,61
1/23/17,jo,69,64
1/24/17,jo,76,60
1/25/17,jo,76,66
1/26/17,jo,71,66
1/27/17,jo,70,66
1/28/17,jo,73,66
1/29/17,jo,73,67
1/30/17,jo,68,69
1/31/17,jo,72,66
2/1/17,jo,73,67
2/2/17,jo,64,68
2/3/17,jo,69,66
2/4/17,jo,62,64
2/5/17,jo,71,58
2/6/17,jo,84,65
2/7/17,jo,94,57
2/8/17,jo,100,51
2/9/17,jo,142,63
2/10/17,jo,228,65
2/11/17,jo,267,65
2/12/17,jo,329,64
2/13/17,jo,389,62
2/14/17,jo,342,53
2/15/17,jo,199,58
2/16/17,jo,156,54
2/17/17,jo,217,60
2/18/17,jo,275,60
2/19/17,jo,279,62
2/20/17,jo,359,62
2/21/17,jo,363,63
2/22/17,jo,241,64
2/23/17,jo,115,61
2/24/17,jo,299,52
2/25/17,jo,346,65
2/26/17,jo,377,66
2/27/17,jo,337,66
2/28/17,jo,405,65
3/1/17,jo,454,65
3/2/17,jo,342,66
3/3/17,jo,309,65
3/4/17,jo,331,64
3/5/17,jo,375,63
3/6/17,jo,433,65
3/7/17,jo,451,65
3/8/17,jo,333,34
3/9/17,jo,317,55
3/10/17,jo,393,65
3/11/17,jo,358,65
3/12/17,jo,359,65
3/13/17,jo,291,67
3/14/17,jo,326,67
3/15/17,jo,377,67
3/16/17,jo,374,65
3/17/17,jo,380,63
3/18/17,jo,349,64
3/19/17,jo,238,62
3/20/17,jo,174,63
3/21/17,jo,159,64
3/22/17,jo,151,62
3/23/17,jo,129,65
3/24/17,jo,110,64
3/25/17,jo,128,63
3/26/17,jo,142,64
3/27/17,jo,129,63
3/28/17,jo,141,62
3/29/17,jo,133,62
3/30/17,jo,129,57
3/31/17,jo,143,56
4/1/17,jo,155,53
4/2/17,jo,152,53
4/3/17,jo,150,50
4/4/17,jo,160,53
4/5/17,jo,160,51
4/6/17,jo,135,50
4/7/17,jo,122,52
4/8/17,jo,128,51
4/9/17,jo,134,51
4/10/17,jo,142,51
4/11/17,jo,142,51
4/12/17,jo,118,50
4/13/17,jo,144,50
4/14/17,jo,118,48
4/15/17,jo,145,46
4/16/17,jo,155,47
4/17/17,jo,166,48
4/18/17,jo,153,48
4/19/17,jo,133,48
4/20/17,jo,128,48
4/21/17,jo,124,47
4/22/17,jo,131,47
4/23/17,jo,136,47
4/24/17,jo,145,47
4/25/17,jo,142,45
4/26/17,jo,126,46
4/27/17,jo,113,45
4/28/17,jo,123,44
4/29/17,jo,113,40
4/30/17,jo,119,43
5/1/17,jo,127,46
5/2/17,jo,108,46
5/3/17,jo,111,46
5/4/17,jo,115,46
5/5/17,jo,107,45
5/6/17,jo,104,34
5/7/17,jo,124,48
5/8/17,jo,110,55
5/9/17,jo,115,56
5/10/17,jo,113,55
5/11/17,jo,116,53
5/12/17,jo,124,52
5/13/17,jo,115,57
5/14/17,jo,106,57
5/15/17,jo,103,58
5/16/17,jo,108,58
5/17/17,jo,106,57
5/18/17,jo,93,58
5/19/17,jo,83,59
5/20/17,jo,85,58
5/21/17,jo,108,57
5/22/17,jo,122,53
5/23/17,jo,103,58
5/24/17,jo,93,59
5/25/17,jo,91,59
5/26/17,jo,85,58
5/27/17,jo,91,57
5/28/17,jo,88,57
5/29/17,jo,83,58
5/30/17,jo,76,59
5/31/17,jo,79,58
6/1/17,jo,79,56
6/2/17,jo,85,59
6/3/17,jo,86,59
6/4/17,jo,78,59
6/5/17,jo,89,56
6/6/17,jo,112,58
6/7/17,jo,94,59
6/8/17,jo,109,61
6/9/17,jo,117,59
6/10/17,jo,87,52
6/11/17,jo,81,50
6/12/17,jo,81,59
6/13/17,jo,85,60
6/14/17,jo,70,60
6/15/17,jo,68,59
6/16/17,jo,74,51
6/17/17,jo,80,56
6/18/17,jo,84,59
6/19/17,jo,78,59
6/20/17,jo,79,57
6/21/17,jo,72,61
6/22/17,jo,81,64
6/23/17,jo,85,64
6/24/17,jo,83,63
6/25/17,jo,115,64
6/26/17,jo,122,66
6/27/17,jo,102,62
6/28/17,jo,107,63
6/29/17,jo,100,67
6/30/17,jo,96,65
7/1/17,jo,93,65
7/2/17,jo,92,66
7/3/17,jo,91,67
7/4/17,jo,90,67
7/5/17,jo,100,67
7/6/17,jo,99,67
7/7/17,jo,90,63
7/8/17,jo,102,61
7/9/17,jo,112,67
7/10/17,jo,100,71
7/11/17,jo,100,65
7/12/17,jo,97,64
7/13/17,jo,96,64
7/14/17,jo,97,64
7/15/17,jo,99,63
7/16/17,jo,104,68
7/17/17,jo,102,68
7/18/17,jo,100,68
7/19/17,jo,85,68
7/20/17,jo,85,69
7/21/17,jo,93,68
7/22/17,jo,71,67
7/23/17,jo,86,68
7/24/17,jo,100,66
7/25/17,jo,95,64
7/26/17,jo,91,62
7/27/17,jo,76,71
7/28/17,jo,74,67
7/29/17,jo,66,65
7/30/17,jo,73,68
7/31/17,jo,76,68
8/1/17,jo,84,54
8/2/17,jo,75,71
8/3/17,jo,71,69
8/4/17,jo,68,67
8/5/17,jo,69,68
8/6/17,jo,72,70
8/7/17,jo,71,74
8/8/17,jo,76,71
8/9/17,jo,65,68
8/10/17,jo,63,68
8/11/17,jo,65,65
8/12/17,jo,69,66
8/13/17,jo,87,35
8/16/17,jo,77,68
8/17/17,jo,82,70
8/18/17,jo,88,70
8/19/17,jo,81,69
8/20/17,jo,77,69
8/21/17,jo,76,70
8/22/17,jo,65,71
8/23/17,jo,67,71
8/24/17,jo,68,70
8/25/17,jo,59,70
8/26/17,jo,58,69
8/27/17,jo,62,61
8/28/17,jo,59,68
8/29/17,jo,67,67
8/30/17,jo,69,69
8/31/17,jo,66,65
9/1/17,jo,72,59
9/2/17,jo,86,59
9/3/17,jo,110,46
9/4/17,jo,103,48
9/5/17,jo,90,53
9/6/17,jo,85,54
9/7/17,jo,89,53
9/8/17,jo,87,52
9/9/17,jo,73,52
9/10/17,jo,64,52
9/11/17,jo,75,52
9/12/17,jo,74,51
9/13/17,jo,65,51
9/14/17,jo,53,51
9/16/17,jo,73,43
9/17/17,jo,67,53
9/18/17,jo,66,53
9/19/17,jo,67,52
9/20/17,jo,58,65
9/21/17,jo,60,66
9/22/17,jo,66,65
