#,,,
# The Tor Project,,,
#,,,
# URL: https://metrics.torproject.org/userstats-bridge-country.csv?start=2017-01-01&end=2019-12-31&country=lb,,,
#,,,
date,country,users,frac
1/1/17,lb,32,56
1/2/17,lb,32,54
1/3/17,lb,29,59
1/4/17,lb,33,57
1/5/17,lb,35,59
1/6/17,lb,35,61
1/7/17,lb,35,64
1/8/17,lb,31,69
1/9/17,lb,40,61
1/10/17,lb,32,58
1/11/17,lb,42,59
1/12/17,lb,44,62
1/13/17,lb,40,64
1/14/17,lb,33,63
1/15/17,lb,32,66
1/16/17,lb,37,65
1/17/17,lb,38,67
1/18/17,lb,34,66
1/19/17,lb,37,66
1/20/17,lb,27,66
1/21/17,lb,22,65
1/22/17,lb,32,61
1/23/17,lb,32,64
1/24/17,lb,35,60
1/25/17,lb,41,66
1/26/17,lb,42,66
1/27/17,lb,34,66
1/28/17,lb,30,66
1/29/17,lb,31,67
1/30/17,lb,31,69
1/31/17,lb,32,66
2/1/17,lb,37,67
2/2/17,lb,28,68
2/3/17,lb,23,66
2/4/17,lb,25,64
2/5/17,lb,32,58
2/6/17,lb,29,65
2/7/17,lb,38,57
2/8/17,lb,37,51
2/9/17,lb,27,63
2/10/17,lb,27,65
2/11/17,lb,21,65
2/12/17,lb,26,64
2/13/17,lb,33,62
2/14/17,lb,41,53
2/15/17,lb,34,58
2/16/17,lb,39,54
2/17/17,lb,33,60
2/18/17,lb,34,60
2/19/17,lb,31,62
2/20/17,lb,31,62
2/21/17,lb,35,63
2/22/17,lb,34,64
2/23/17,lb,31,61
2/24/17,lb,30,52
2/25/17,lb,28,65
2/26/17,lb,29,66
2/27/17,lb,30,66
2/28/17,lb,31,65
3/1/17,lb,32,65
3/2/17,lb,32,66
3/3/17,lb,27,65
3/4/17,lb,30,64
3/5/17,lb,36,63
3/6/17,lb,33,65
3/7/17,lb,40,65
3/8/17,lb,65,34
3/9/17,lb,38,55
3/10/17,lb,33,65
3/11/17,lb,28,65
3/12/17,lb,23,65
3/13/17,lb,27,67
3/14/17,lb,24,67
3/15/17,lb,24,67
3/16/17,lb,25,65
3/17/17,lb,25,63
3/18/17,lb,24,64
3/19/17,lb,21,62
3/20/17,lb,24,63
3/21/17,lb,28,64
3/22/17,lb,28,62
3/23/17,lb,34,65
3/24/17,lb,29,64
3/25/17,lb,21,63
3/26/17,lb,22,64
3/27/17,lb,23,63
3/28/17,lb,29,62
3/29/17,lb,27,62
3/30/17,lb,27,57
3/31/17,lb,30,56
4/1/17,lb,36,53
4/2/17,lb,28,53
4/3/17,lb,32,50
4/4/17,lb,33,53
4/5/17,lb,34,51
4/6/17,lb,25,50
4/7/17,lb,29,52
4/8/17,lb,24,51
4/9/17,lb,23,51
4/10/17,lb,32,51
4/11/17,lb,41,51
4/12/17,lb,38,50
4/13/17,lb,42,50
4/14/17,lb,38,48
4/15/17,lb,33,46
4/16/17,lb,28,47
4/17/17,lb,26,48
4/18/17,lb,35,48
4/19/17,lb,36,48
4/20/17,lb,40,48
4/21/17,lb,38,47
4/22/17,lb,40,47
4/23/17,lb,36,47
4/24/17,lb,45,47
4/25/17,lb,43,45
4/26/17,lb,33,46
4/27/17,lb,42,45
4/28/17,lb,41,44
4/29/17,lb,43,40
4/30/17,lb,44,43
5/1/17,lb,35,46
5/2/17,lb,49,46
5/3/17,lb,48,46
5/4/17,lb,42,46
5/5/17,lb,45,45
5/6/17,lb,49,34
5/7/17,lb,40,48
5/8/17,lb,41,55
5/9/17,lb,42,56
5/10/17,lb,36,55
5/11/17,lb,33,53
5/12/17,lb,33,52
5/13/17,lb,31,57
5/14/17,lb,30,57
5/15/17,lb,41,58
5/16/17,lb,40,58
5/17/17,lb,38,57
5/18/17,lb,36,58
5/19/17,lb,28,59
5/20/17,lb,28,58
5/21/17,lb,23,57
5/22/17,lb,22,53
5/23/17,lb,21,58
5/24/17,lb,30,59
5/25/17,lb,26,59
5/26/17,lb,22,58
5/27/17,lb,22,57
5/28/17,lb,20,57
5/29/17,lb,21,58
5/30/17,lb,24,59
5/31/17,lb,23,58
6/1/17,lb,22,56
6/2/17,lb,22,59
6/3/17,lb,23,59
6/4/17,lb,21,59
6/5/17,lb,23,56
6/6/17,lb,27,58
6/7/17,lb,24,59
6/8/17,lb,31,61
6/9/17,lb,43,59
6/10/17,lb,36,52
6/11/17,lb,35,50
6/12/17,lb,32,59
6/13/17,lb,30,60
6/14/17,lb,29,60
6/15/17,lb,25,59
6/16/17,lb,24,51
6/17/17,lb,19,56
6/18/17,lb,23,59
6/19/17,lb,24,59
6/20/17,lb,26,57
6/21/17,lb,27,61
6/22/17,lb,27,64
6/23/17,lb,24,64
6/24/17,lb,28,63
6/25/17,lb,30,64
6/26/17,lb,27,66
6/27/17,lb,25,62
6/28/17,lb,30,63
6/29/17,lb,29,67
6/30/17,lb,28,65
7/1/17,lb,27,65
7/2/17,lb,25,66
7/3/17,lb,25,67
7/4/17,lb,28,67
7/5/17,lb,27,67
7/6/17,lb,24,67
7/7/17,lb,23,63
7/8/17,lb,26,61
7/9/17,lb,28,67
7/10/17,lb,28,71
7/11/17,lb,26,65
7/12/17,lb,27,64
7/13/17,lb,27,64
7/14/17,lb,26,64
7/15/17,lb,25,63
7/16/17,lb,33,68
7/17/17,lb,28,68
7/18/17,lb,30,68
7/19/17,lb,27,68
7/20/17,lb,27,69
7/21/17,lb,22,68
7/22/17,lb,18,67
7/23/17,lb,22,68
7/24/17,lb,24,66
7/25/17,lb,25,64
7/26/17,lb,23,62
7/27/17,lb,23,71
7/28/17,lb,27,67
7/29/17,lb,20,65
7/30/17,lb,21,68
7/31/17,lb,29,68
8/1/17,lb,29,54
8/2/17,lb,19,71
8/3/17,lb,22,69
8/4/17,lb,24,67
8/5/17,lb,23,68
8/6/17,lb,23,70
8/7/17,lb,24,74
8/8/17,lb,24,71
8/9/17,lb,21,68
8/10/17,lb,22,68
8/11/17,lb,25,65
8/12/17,lb,22,66
8/13/17,lb,25,35
8/16/17,lb,33,68
8/17/17,lb,28,70
8/18/17,lb,27,70
8/19/17,lb,22,69
8/20/17,lb,21,69
8/21/17,lb,24,70
8/22/17,lb,24,71
8/23/17,lb,22,71
8/24/17,lb,25,70
8/25/17,lb,24,70
8/26/17,lb,25,69
8/27/17,lb,29,61
8/28/17,lb,31,68
8/29/17,lb,32,67
8/30/17,lb,31,69
8/31/17,lb,47,65
9/1/17,lb,41,59
9/2/17,lb,70,59
9/3/17,lb,63,46
9/4/17,lb,42,48
9/5/17,lb,39,53
9/6/17,lb,35,54
9/7/17,lb,40,53
9/8/17,lb,42,52
9/9/17,lb,36,52
9/10/17,lb,34,52
9/11/17,lb,36,52
9/12/17,lb,33,51
9/13/17,lb,30,51
9/14/17,lb,29,51
9/16/17,lb,37,43
9/17/17,lb,30,53
9/18/17,lb,34,53
9/19/17,lb,36,52
9/20/17,lb,28,65
9/21/17,lb,26,66
9/22/17,lb,23,65
9/23/17,lb,20,69
9/24/17,lb,21,66
9/25/17,lb,27,59
9/26/17,lb,28,69
9/27/17,lb,26,69
9/28/17,lb,26,68
9/29/17,lb,24,69
9/30/17,lb,25,68
10/1/17,lb,28,66
10/2/17,lb,27,67
10/3/17,lb,26,68
10/4/17,lb,27,69
10/5/17,lb,26,69
10/6/17,lb,25,68
10/7/17,lb,26,67
10/8/17,lb,25,69
10/9/17,lb,28,69
10/10/17,lb,26,70
10/11/17,lb,24,67
10/12/17,lb,22,69
10/13/17,lb,26,68
10/14/17,lb,28,67
10/15/17,lb,29,68
10/16/17,lb,27,69
10/17/17,lb,26,61
10/18/17,lb,25,70
10/19/17,lb,23,69
10/20/17,lb,23,69
10/21/17,lb,23,68
10/22/17,lb,22,69
10/23/17,lb,26,69
10/24/17,lb,24,69
10/25/17,lb,22,64
10/26/17,lb,23,63
10/27/17,lb,24,67
10/28/17,lb,22,66
10/29/17,lb,23,66
10/30/17,lb,24,69
10/31/17,lb,25,66
11/1/17,lb,25,69
11/2/17,lb,23,69
11/3/17,lb,21,70
11/4/17,lb,23,69
11/5/17,lb,24,71
11/6/17,lb,25,71
11/7/17,lb,30,57
11/8/17,lb,24,73
11/9/17,lb,21,67
11/10/17,lb,16,64
11/11/17,lb,19,69
11/12/17,lb,19,75
11/13/17,lb,23,73
11/14/17,lb,22,72
11/15/17,lb,22,73
11/16/17,lb,21,74
11/17/17,lb,20,74
11/18/17,lb,17,73
11/19/17,lb,20,56
11/20/17,lb,27,72
11/21/17,lb,24,69
11/22/17,lb,25,73
11/23/17,lb,29,70
11/24/17,lb,23,71
11/25/17,lb,17,72
11/26/17,lb,17,73
11/27/17,lb,22,61
11/28/17,lb,20,81
11/29/17,lb,21,82
11/30/17,lb,22,82
12/1/17,lb,21,80
12/2/17,lb,19,77
12/3/17,lb,20,63
12/4/17,lb,22,58
12/5/17,lb,23,63
12/6/17,lb,23,82
12/7/17,lb,21,39
12/12/17,lb,28,83
12/13/17,lb,30,61
12/14/17,lb,27,74
12/15/17,lb,26,71
12/16/17,lb,23,75
12/17/17,lb,22,75
12/18/17,lb,23,75
12/19/17,lb,25,76
12/20/17,lb,24,76
12/21/17,lb,20,76
12/22/17,lb,20,76
12/23/17,lb,22,75
12/24/17,lb,22,79
12/25/17,lb,22,76
12/26/17,lb,24,76
12/27/17,lb,26,76
12/28/17,lb,28,76
12/29/17,lb,21,76
12/30/17,lb,22,75
12/31/17,lb,24,74
1/1/18,lb,22,78
1/2/18,lb,21,76
1/3/18,lb,24,76
1/4/18,lb,27,68
1/5/18,lb,26,76
1/6/18,lb,21,77
1/7/18,lb,21,77
1/8/18,lb,22,76
1/9/18,lb,23,77
1/10/18,lb,22,72
1/11/18,lb,22,74
1/12/18,lb,24,74
1/13/18,lb,28,73
1/14/18,lb,26,74
1/15/18,lb,25,75
1/16/18,lb,28,73
1/17/18,lb,32,74
1/18/18,lb,36,73
1/19/18,lb,32,75
1/20/18,lb,27,75
1/21/18,lb,24,75
1/22/18,lb,30,76
1/23/18,lb,31,72
1/24/18,lb,33,73
1/25/18,lb,34,77
1/26/18,lb,32,72
1/27/18,lb,34,74
1/28/18,lb,31,71
1/29/18,lb,32,64
1/30/18,lb,32,76
1/31/18,lb,30,72
2/1/18,lb,30,72
2/2/18,lb,29,71
2/3/18,lb,30,75
2/4/18,lb,32,75
2/5/18,lb,31,75
2/6/18,lb,27,74
2/7/18,lb,30,74
2/8/18,lb,32,75
2/9/18,lb,28,75
2/10/18,lb,29,75
2/11/18,lb,30,75
2/12/18,lb,31,77
2/13/18,lb,35,76
2/14/18,lb,32,77
2/15/18,lb,35,75
2/16/18,lb,32,75
2/17/18,lb,31,76
2/18/18,lb,33,76
2/19/18,lb,32,76
2/20/18,lb,37,77
2/21/18,lb,36,77
2/22/18,lb,33,73
2/23/18,lb,33,76
2/24/18,lb,35,74
2/25/18,lb,36,76
2/26/18,lb,39,76
2/27/18,lb,36,76
2/28/18,lb,37,75
3/1/18,lb,37,74
3/2/18,lb,39,74
3/3/18,lb,34,75
3/4/18,lb,32,76
3/5/18,lb,32,76
3/6/18,lb,29,76
3/7/18,lb,34,76
3/8/18,lb,36,75
3/9/18,lb,38,71
3/10/18,lb,28,73
3/11/18,lb,29,71
3/12/18,lb,30,75
3/13/18,lb,27,76
3/14/18,lb,31,76
3/15/18,lb,28,73
3/16/18,lb,32,76
3/17/18,lb,38,68
3/18/18,lb,36,75
3/19/18,lb,32,66
3/20/18,lb,35,76
3/21/18,lb,36,74
3/22/18,lb,36,65
3/23/18,lb,38,72
3/24/18,lb,37,78
3/25/18,lb,36,76
3/26/18,lb,34,73
3/27/18,lb,30,78
3/28/18,lb,27,78
3/29/18,lb,32,75
3/30/18,lb,33,73
3/31/18,lb,33,73
4/1/18,lb,31,72
4/2/18,lb,33,73
4/3/18,lb,32,76
4/4/18,lb,29,74
4/5/18,lb,31,75
4/6/18,lb,32,76
4/7/18,lb,32,78
4/8/18,lb,38,78
4/9/18,lb,36,78
4/10/18,lb,29,73
4/11/18,lb,28,78
4/12/18,lb,33,79
4/13/18,lb,34,76
4/14/18,lb,32,78
4/15/18,lb,35,78
4/16/18,lb,34,74
4/17/18,lb,29,77
4/18/18,lb,31,76
4/19/18,lb,33,75
4/20/18,lb,35,73
4/21/18,lb,34,74
4/22/18,lb,34,71
4/23/18,lb,31,65
4/24/18,lb,34,71
4/25/18,lb,34,74
4/26/18,lb,30,74
4/27/18,lb,34,74
4/28/18,lb,42,73
4/29/18,lb,37,73
4/30/18,lb,39,73
5/1/18,lb,42,72
5/2/18,lb,39,73
5/3/18,lb,36,74
5/4/18,lb,38,74
5/5/18,lb,33,71
5/6/18,lb,42,69
5/7/18,lb,46,72
5/8/18,lb,40,70
5/9/18,lb,69,72
5/10/18,lb,52,76
5/11/18,lb,46,77
5/12/18,lb,34,76
5/13/18,lb,36,76
5/14/18,lb,42,76
5/15/18,lb,34,75
5/16/18,lb,34,76
5/17/18,lb,29,76
5/18/18,lb,22,76
5/19/18,lb,20,76
5/20/18,lb,23,76
5/21/18,lb,22,75
5/22/18,lb,25,71
5/23/18,lb,25,67
5/24/18,lb,34,75
5/25/18,lb,42,73
5/26/18,lb,50,68
5/27/18,lb,58,69
5/28/18,lb,65,69
5/29/18,lb,73,66
5/30/18,lb,73,62
5/31/18,lb,77,59
6/1/18,lb,72,63
6/2/18,lb,75,66
6/3/18,lb,76,63
6/4/18,lb,101,62
6/5/18,lb,116,60
6/6/18,lb,107,62
6/7/18,lb,113,62
6/8/18,lb,124,61
6/9/18,lb,100,57
6/10/18,lb,80,61
6/11/18,lb,95,57
6/12/18,lb,114,63
6/13/18,lb,91,64
6/14/18,lb,82,57
6/15/18,lb,71,64
6/16/18,lb,74,64
6/17/18,lb,76,67
6/18/18,lb,89,69
6/19/18,lb,90,73
6/20/18,lb,74,72
6/21/18,lb,66,74
6/22/18,lb,60,75
6/23/18,lb,56,72
6/24/18,lb,52,74
6/25/18,lb,57,74
6/26/18,lb,58,74
6/27/18,lb,57,72
6/28/18,lb,67,73
6/29/18,lb,62,73
6/30/18,lb,55,73
7/1/18,lb,51,69
7/2/18,lb,62,68
7/3/18,lb,61,66
7/4/18,lb,57,66
7/5/18,lb,52,61
7/6/18,lb,16,11
7/20/18,lb,23,100
7/21/18,lb,21,78
7/22/18,lb,27,78
7/23/18,lb,32,81
7/24/18,lb,34,81
7/25/18,lb,35,81
7/26/18,lb,40,83
7/27/18,lb,42,79
7/28/18,lb,33,78
7/29/18,lb,27,77
7/30/18,lb,29,78
7/31/18,lb,27,79
8/1/18,lb,28,82
8/2/18,lb,33,75
8/3/18,lb,31,80
8/4/18,lb,28,82
8/5/18,lb,22,79
8/6/18,lb,27,71
8/7/18,lb,40,75
8/8/18,lb,35,74
8/9/18,lb,36,74
8/10/18,lb,38,71
8/11/18,lb,28,75
8/12/18,lb,29,75
8/13/18,lb,25,72
8/14/18,lb,29,82
8/15/18,lb,27,82
8/16/18,lb,24,83
8/17/18,lb,27,82
8/18/18,lb,28,82
8/19/18,lb,32,82
8/20/18,lb,29,82
8/21/18,lb,27,82
8/22/18,lb,28,83
8/23/18,lb,30,82
8/24/18,lb,28,81
8/25/18,lb,30,81
8/26/18,lb,32,80
8/27/18,lb,34,80
8/28/18,lb,37,81
8/29/18,lb,38,81
8/30/18,lb,46,80
8/31/18,lb,41,80
9/1/18,lb,37,74
9/2/18,lb,43,71
9/3/18,lb,38,76
9/4/18,lb,40,77
9/5/18,lb,49,78
9/6/18,lb,49,80
9/7/18,lb,31,77
9/8/18,lb,24,60
9/9/18,lb,33,75
9/10/18,lb,40,69
9/11/18,lb,40,58
9/12/18,lb,36,56
9/13/18,lb,52,61
9/14/18,lb,45,66
9/15/18,lb,43,54
9/16/18,lb,57,47
9/17/18,lb,53,47
9/18/18,lb,52,47
9/19/18,lb,45,50
9/20/18,lb,42,65
9/21/18,lb,54,58
9/22/18,lb,42,66
9/23/18,lb,47,65
9/24/18,lb,57,66
9/25/18,lb,50,65
9/26/18,lb,45,70
9/27/18,lb,48,67
9/28/18,lb,47,69
9/29/18,lb,41,70
9/30/18,lb,29,50
10/1/18,lb,45,62
10/2/18,lb,48,70
10/3/18,lb,48,74
10/4/18,lb,39,74
