date,country,users,frac
1/1/17,sa,739,56
1/2/17,sa,797,54
1/3/17,sa,782,59
1/4/17,sa,714,57
1/5/17,sa,722,59
1/6/17,sa,727,61
1/7/17,sa,670,64
1/8/17,sa,589,69
1/9/17,sa,639,61
1/10/17,sa,662,58
1/11/17,sa,650,59
1/12/17,sa,652,62
1/13/17,sa,681,64
1/14/17,sa,711,63
1/15/17,sa,680,66
1/16/17,sa,694,65
1/17/17,sa,679,67
1/18/17,sa,684,66
1/19/17,sa,745,66
1/20/17,sa,739,66
1/21/17,sa,746,65
1/22/17,sa,734,61
1/23/17,sa,695,64
1/24/17,sa,711,60
1/25/17,sa,694,66
1/26/17,sa,710,66
1/27/17,sa,724,66
1/28/17,sa,769,66
1/29/17,sa,750,67
1/30/17,sa,745,69
1/31/17,sa,760,66
2/1/17,sa,698,67
2/2/17,sa,682,68
2/3/17,sa,683,66
2/4/17,sa,679,64
2/5/17,sa,733,58
2/6/17,sa,709,65
2/7/17,sa,820,57
2/8/17,sa,917,51
2/9/17,sa,832,63
2/10/17,sa,860,65
2/11/17,sa,858,65
2/12/17,sa,866,64
2/13/17,sa,871,62
2/14/17,sa,942,53
2/15/17,sa,903,58
2/16/17,sa,985,54
2/17/17,sa,923,60
2/18/17,sa,841,60
2/19/17,sa,837,62
2/20/17,sa,891,62
2/21/17,sa,880,63
2/22/17,sa,770,64
2/23/17,sa,780,61
2/24/17,sa,943,52
2/25/17,sa,811,65
2/26/17,sa,780,66
2/27/17,sa,749,66
2/28/17,sa,749,65
3/1/17,sa,767,65
3/2/17,sa,740,66
3/3/17,sa,790,65
3/4/17,sa,824,64
3/5/17,sa,731,63
3/6/17,sa,721,65
3/7/17,sa,716,65
3/8/17,sa,1222,34
3/9/17,sa,867,55
3/10/17,sa,773,65
3/11/17,sa,711,65
3/12/17,sa,648,65
3/13/17,sa,643,67
3/14/17,sa,640,67
3/15/17,sa,653,67
3/16/17,sa,712,65
3/17/17,sa,776,63
3/18/17,sa,780,64
3/19/17,sa,680,62
3/20/17,sa,702,63
3/21/17,sa,740,64
3/22/17,sa,613,62
3/23/17,sa,721,65
3/24/17,sa,737,64
3/25/17,sa,761,63
3/26/17,sa,652,64
3/27/17,sa,607,63
3/28/17,sa,657,62
3/29/17,sa,655,62
3/30/17,sa,647,57
3/31/17,sa,705,56
4/1/17,sa,731,53
4/2/17,sa,708,53
4/3/17,sa,741,50
4/4/17,sa,728,53
4/5/17,sa,757,51
4/6/17,sa,878,50
4/7/17,sa,858,52
4/8/17,sa,945,51
4/9/17,sa,935,51
4/10/17,sa,1006,51
4/11/17,sa,1120,51
4/12/17,sa,957,50
4/13/17,sa,1089,50
4/14/17,sa,1031,48
4/15/17,sa,1001,46
4/16/17,sa,1051,47
4/17/17,sa,1020,48
4/18/17,sa,1095,48
4/19/17,sa,975,48
4/20/17,sa,973,48
4/21/17,sa,947,47
4/22/17,sa,883,47
4/23/17,sa,756,47
4/24/17,sa,881,47
4/25/17,sa,913,45
4/26/17,sa,810,46
4/27/17,sa,603,45
4/28/17,sa,752,44
4/29/17,sa,836,40
4/30/17,sa,789,43
5/1/17,sa,876,46
5/2/17,sa,819,46
5/3/17,sa,733,46
5/4/17,sa,752,46
5/5/17,sa,728,45
5/6/17,sa,956,34
5/7/17,sa,736,48
5/8/17,sa,606,55
5/9/17,sa,573,56
5/10/17,sa,553,55
5/11/17,sa,565,53
5/12/17,sa,639,52
5/13/17,sa,633,57
5/14/17,sa,609,57
5/15/17,sa,630,58
5/16/17,sa,606,58
5/17/17,sa,610,57
5/18/17,sa,655,58
5/19/17,sa,629,59
5/20/17,sa,597,58
5/21/17,sa,584,57
5/22/17,sa,638,53
5/23/17,sa,729,58
5/24/17,sa,842,59
5/25/17,sa,892,59
5/26/17,sa,877,58
5/27/17,sa,788,57
5/28/17,sa,791,57
5/29/17,sa,610,58
5/30/17,sa,533,59
5/31/17,sa,542,58
6/1/17,sa,556,56
6/2/17,sa,561,59
6/3/17,sa,554,59
6/4/17,sa,533,59
6/5/17,sa,555,56
6/6/17,sa,559,58
6/7/17,sa,544,59
6/8/17,sa,535,61
6/9/17,sa,570,59
6/10/17,sa,580,52
6/11/17,sa,563,50
6/12/17,sa,542,59
6/13/17,sa,538,60
6/14/17,sa,507,60
6/15/17,sa,483,59
6/16/17,sa,486,51
6/17/17,sa,477,56
6/18/17,sa,470,59
6/19/17,sa,437,59
6/20/17,sa,417,57
6/21/17,sa,419,61
6/22/17,sa,401,64
6/23/17,sa,367,64
6/24/17,sa,400,63
6/25/17,sa,458,64
6/26/17,sa,464,66
6/27/17,sa,445,62
6/28/17,sa,447,63
6/29/17,sa,395,67
6/30/17,sa,407,65
7/1/17,sa,416,65
7/2/17,sa,404,66
7/3/17,sa,419,67
7/4/17,sa,413,67
7/5/17,sa,440,67
7/6/17,sa,455,67
7/7/17,sa,448,63
7/8/17,sa,392,61
7/9/17,sa,415,67
7/10/17,sa,382,71
7/11/17,sa,429,65
7/12/17,sa,425,64
7/13/17,sa,425,64
7/14/17,sa,423,64
7/15/17,sa,438,63
7/16/17,sa,424,68
7/17/17,sa,409,68
7/18/17,sa,396,68
7/19/17,sa,386,68
7/20/17,sa,404,69
7/21/17,sa,398,68
7/22/17,sa,410,67
7/23/17,sa,391,68
7/24/17,sa,445,66
7/25/17,sa,448,64
7/26/17,sa,428,62
7/27/17,sa,441,71
7/28/17,sa,485,67
7/29/17,sa,466,65
7/30/17,sa,375,68
7/31/17,sa,363,68
8/1/17,sa,378,54
8/2/17,sa,344,71
8/3/17,sa,354,69
8/4/17,sa,386,67
8/5/17,sa,386,68
8/6/17,sa,372,70
8/7/17,sa,334,74
8/8/17,sa,340,71
8/9/17,sa,332,68
8/10/17,sa,340,68
8/11/17,sa,344,65
8/12/17,sa,330,66
8/13/17,sa,370,35
8/16/17,sa,333,68
8/17/17,sa,368,70
8/18/17,sa,393,70
8/19/17,sa,364,69
8/20/17,sa,339,69
8/21/17,sa,352,70
8/22/17,sa,344,71
8/23/17,sa,357,71
8/24/17,sa,357,70
8/25/17,sa,356,70
