#,,,
# The Tor Project,,,
#,,,
# URL: https://metrics.torproject.org/userstats-bridge-country.csv?start=2017-01-01&end=2019-12-31&country=sy,,,
#,,,
date,country,users,frac
1/1/17,sy,38,56
1/2/17,sy,36,54
1/3/17,sy,36,59
1/4/17,sy,37,57
1/5/17,sy,38,59
1/6/17,sy,37,61
1/7/17,sy,37,64
1/8/17,sy,34,69
1/9/17,sy,31,61
1/10/17,sy,27,58
1/11/17,sy,32,59
1/12/17,sy,43,62
1/13/17,sy,33,64
1/14/17,sy,39,63
1/15/17,sy,38,66
1/16/17,sy,34,65
1/17/17,sy,36,67
1/18/17,sy,31,66
1/19/17,sy,34,66
1/20/17,sy,41,66
1/21/17,sy,39,65
1/22/17,sy,35,61
1/23/17,sy,37,64
1/24/17,sy,33,60
1/25/17,sy,41,66
1/26/17,sy,36,66
1/27/17,sy,34,66
1/28/17,sy,37,66
1/29/17,sy,38,67
1/30/17,sy,28,69
1/31/17,sy,28,66
2/1/17,sy,27,67
2/2/17,sy,30,68
2/3/17,sy,23,66
2/4/17,sy,28,64
2/5/17,sy,29,58
2/6/17,sy,31,65
2/7/17,sy,28,57
2/8/17,sy,37,51
2/9/17,sy,34,63
2/10/17,sy,26,65
2/11/17,sy,28,65
2/12/17,sy,29,64
2/13/17,sy,34,62
2/14/17,sy,34,53
2/15/17,sy,40,58
2/16/17,sy,43,54
2/17/17,sy,33,60
2/18/17,sy,33,60
2/19/17,sy,34,62
2/20/17,sy,32,62
2/21/17,sy,34,63
2/22/17,sy,32,64
2/23/17,sy,37,61
2/24/17,sy,37,52
2/25/17,sy,26,65
2/26/17,sy,30,66
2/27/17,sy,38,66
2/28/17,sy,35,65
3/1/17,sy,30,65
3/2/17,sy,33,66
3/3/17,sy,30,65
3/4/17,sy,37,64
3/5/17,sy,38,63
3/6/17,sy,32,65
3/7/17,sy,34,65
3/8/17,sy,47,34
3/9/17,sy,35,55
3/10/17,sy,25,65
3/11/17,sy,29,65
3/12/17,sy,31,65
3/13/17,sy,33,67
3/14/17,sy,34,67
3/15/17,sy,35,67
3/16/17,sy,33,65
3/17/17,sy,26,63
3/18/17,sy,34,64
3/19/17,sy,33,62
3/20/17,sy,34,63
3/21/17,sy,33,64
3/22/17,sy,33,62
3/23/17,sy,39,65
3/24/17,sy,37,64
3/25/17,sy,27,63
3/26/17,sy,27,64
3/27/17,sy,35,63
3/28/17,sy,35,62
3/29/17,sy,39,62
3/30/17,sy,36,57
3/31/17,sy,38,56
4/1/17,sy,45,53
4/2/17,sy,44,53
4/3/17,sy,34,50
4/4/17,sy,39,53
4/5/17,sy,40,51
4/6/17,sy,41,50
4/7/17,sy,44,52
4/8/17,sy,44,51
4/9/17,sy,43,51
4/10/17,sy,41,51
4/11/17,sy,41,51
4/12/17,sy,45,50
4/13/17,sy,53,50
4/14/17,sy,45,48
4/15/17,sy,45,46
4/16/17,sy,44,47
4/17/17,sy,47,48
4/18/17,sy,51,48
4/19/17,sy,49,48
4/20/17,sy,44,48
4/21/17,sy,47,47
4/22/17,sy,46,47
4/23/17,sy,49,47
4/24/17,sy,47,47
4/25/17,sy,51,45
4/26/17,sy,48,46
4/27/17,sy,48,45
4/28/17,sy,39,44
4/29/17,sy,42,40
4/30/17,sy,39,43
5/1/17,sy,43,46
5/2/17,sy,56,46
5/3/17,sy,54,46
5/4/17,sy,41,46
5/5/17,sy,34,45
5/6/17,sy,53,34
5/7/17,sy,40,48
5/8/17,sy,35,55
5/9/17,sy,33,56
5/10/17,sy,31,55
5/11/17,sy,36,53
5/12/17,sy,41,52
5/13/17,sy,40,57
5/14/17,sy,35,57
5/15/17,sy,35,58
5/16/17,sy,39,58
5/17/17,sy,47,57
5/18/17,sy,48,58
5/19/17,sy,34,59
5/20/17,sy,37,58
5/21/17,sy,41,57
5/22/17,sy,41,53
5/23/17,sy,42,58
5/24/17,sy,43,59
5/25/17,sy,37,59
5/26/17,sy,31,58
5/27/17,sy,25,57
5/28/17,sy,28,57
5/29/17,sy,31,58
5/30/17,sy,39,59
5/31/17,sy,39,58
6/1/17,sy,35,56
6/2/17,sy,28,59
6/3/17,sy,23,59
6/4/17,sy,26,59
6/5/17,sy,30,56
6/6/17,sy,32,58
6/7/17,sy,35,59
6/8/17,sy,29,61
6/9/17,sy,29,59
6/10/17,sy,31,52
6/11/17,sy,31,50
6/12/17,sy,29,59
6/13/17,sy,32,60
6/14/17,sy,31,60
6/15/17,sy,26,59
6/16/17,sy,26,51
6/17/17,sy,27,56
6/18/17,sy,29,59
6/19/17,sy,27,59
6/20/17,sy,29,57
6/21/17,sy,32,61
6/22/17,sy,29,64
6/23/17,sy,28,64
6/24/17,sy,28,63
6/25/17,sy,28,64
6/26/17,sy,28,66
6/27/17,sy,20,62
6/28/17,sy,22,63
6/29/17,sy,21,67
6/30/17,sy,22,65
7/1/17,sy,25,65
7/2/17,sy,28,66
7/3/17,sy,28,67
7/4/17,sy,29,67
7/5/17,sy,27,67
7/6/17,sy,25,67
7/7/17,sy,20,63
7/8/17,sy,21,61
7/9/17,sy,24,67
7/10/17,sy,22,71
7/11/17,sy,23,65
7/12/17,sy,19,64
7/13/17,sy,20,64
7/14/17,sy,18,64
7/15/17,sy,17,63
7/16/17,sy,18,68
7/17/17,sy,19,68
7/18/17,sy,19,68
7/19/17,sy,18,68
7/20/17,sy,16,69
7/21/17,sy,15,68
7/22/17,sy,14,67
7/23/17,sy,17,68
7/24/17,sy,19,66
7/25/17,sy,19,64
7/26/17,sy,17,62
7/27/17,sy,15,71
7/28/17,sy,14,67
7/29/17,sy,17,65
7/30/17,sy,18,68
7/31/17,sy,17,68
8/1/17,sy,16,54
8/2/17,sy,16,71
8/3/17,sy,15,69
8/4/17,sy,17,67
8/5/17,sy,17,68
8/6/17,sy,17,70
8/7/17,sy,16,74
8/8/17,sy,16,71
8/9/17,sy,13,68
8/10/17,sy,15,68
8/11/17,sy,14,65
8/12/17,sy,16,66
8/13/17,sy,18,35
8/16/17,sy,19,68
8/17/17,sy,15,70
8/18/17,sy,14,70
8/19/17,sy,19,69
8/20/17,sy,20,69
8/21/17,sy,16,70
8/22/17,sy,17,71
8/23/17,sy,22,71
8/24/17,sy,21,70
8/25/17,sy,18,70
8/26/17,sy,20,69
8/27/17,sy,24,61
8/28/17,sy,20,68
8/29/17,sy,18,67
8/30/17,sy,18,69
8/31/17,sy,18,65
9/1/17,sy,10,59
9/2/17,sy,16,59
