Country,Code,Year,Month,Date,Consumer Price Index (CPI),Inflation monthly percent change in the CPI,Exchange rate USD,GDP per capita Purchasing Power Parity,Labor force million people,Unemployment rate,Foreign Direct Investment percent of GDP,Trade balance billion USD,Government debt as percent of GDP,Rule of law index (-2.5 weak; 2.5 strong),Government effectiveness index (-2.5 weak; 2.5 strong),Control of corruption (-2.5 weak; 2.5 strong),Regulatory quality index (-2.5 weak; 2.5 strong),Voice and accountability index (-2.5 weak; 2.5 strong),Political stability index (-2.5 weak; 2.5 strong),Corruption Perceptions Index 100 = no corruption,Political rights index 7 (weak) - 1 (strong),Civil liberties index 7 (weak) - 1 (strong) ,Short-term political risk (1=low 7=high),Medium/long-term political risk (1=low 7=high),Political violence risk (1=low 7=high),Internet users percent of population,Mobile phone subscribers per 100 people,Employment in agriculture % of total employment,Innovations index (0-100),Property rights index (0-100),Freedom from corruption index (0-100),Business freedom index (0-100),Labor freedom index (0-100),Population density people per square km,Life expectancy in years,GDP per capita Purchasing Power Parity,Fragile state index 0 (low) - 120 (high),Security threats index 0 (low) - 10 (high),State legitimacy index 0 (high) - 10 (low),Public services index 0 (high) - 10 (low),Human rights and rule of law index 0 (high) - 10 (low),Refugees and displaced persons index 0 (low) - 10 (high),Military spending percent of GDP,Labor force million people,Labor force participation rate,Percent urban population,Population density people per square km
Egypt,EGY,2017,1,1/1/17,227.5,4.31,18.6331,10672.8,30.66,11.74,3.15,-27.35,103.16,-0.54,-0.62,-0.55,-0.86,-1.25,-1.42,32,6,5,4,6,5,44.95,106.76,25.05,26,35,33,67,51,97,71.66,10672.8,89.8,8.1,8.2,4.9,9.8,7.3,1.42,30.66,48.01,42.71,97
Egypt,EGY,2017,2,2/1/17,233.7,2.73,17.2295,10672.8,30.66,11.74,3.15,-27.35,103.16,-0.54,-0.62,-0.55,-0.86,-1.25,-1.42,32,6,5,4,6,5,44.95,106.76,25.05,26,35,33,67,51,97,71.66,10672.8,89.8,8.1,8.2,4.9,9.8,7.3,1.42,30.66,48.01,42.71,97
Egypt,EGY,2017,3,3/1/17,238.5,2.05,17.6674,10672.8,30.66,11.74,3.15,-27.35,103.16,-0.54,-0.62,-0.55,-0.86,-1.25,-1.42,32,6,5,4,6,5,44.95,106.76,25.05,26,35,33,67,51,97,71.66,10672.8,89.8,8.1,8.2,4.9,9.8,7.3,1.42,30.66,48.01,42.71,97
Egypt,EGY,2017,4,4/1/17,242.7,1.76,18.0983,10672.8,30.66,11.74,3.15,-27.35,103.16,-0.54,-0.62,-0.55,-0.86,-1.25,-1.42,32,6,5,4,6,5,44.95,106.76,25.05,26,35,33,67,51,97,71.66,10672.8,89.8,8.1,8.2,4.9,9.8,7.3,1.42,30.66,48.01,42.71,97
Egypt,EGY,2017,5,5/1/17,246.5,1.57,18.0884,10672.8,30.66,11.74,3.15,-27.35,103.16,-0.54,-0.62,-0.55,-0.86,-1.25,-1.42,32,6,5,4,6,5,44.95,106.76,25.05,26,35,33,67,51,97,71.66,10672.8,89.8,8.1,8.2,4.9,9.8,7.3,1.42,30.66,48.01,42.71,97
Egypt,EGY,2017,6,6/1/17,248.4,0.77,18.1116,10672.8,30.66,11.74,3.15,-27.35,103.16,-0.54,-0.62,-0.55,-0.86,-1.25,-1.42,32,6,5,4,6,5,44.95,106.76,25.05,26,35,33,67,51,97,71.66,10672.8,89.8,8.1,8.2,4.9,9.8,7.3,1.42,30.66,48.01,42.71,97
Egypt,EGY,2017,7,7/1/17,256.6,3.3,17.9211,10672.8,30.66,11.74,3.15,-27.35,103.16,-0.54,-0.62,-0.55,-0.86,-1.25,-1.42,32,6,5,4,6,5,44.95,106.76,25.05,26,35,33,67,51,97,71.66,10672.8,89.8,8.1,8.2,4.9,9.8,7.3,1.42,30.66,48.01,42.71,97
Egypt,EGY,2017,8,8/1/17,259.6,1.17,17.7534,10672.8,30.66,11.74,3.15,-27.35,103.16,-0.54,-0.62,-0.55,-0.86,-1.25,-1.42,32,6,5,4,6,5,44.95,106.76,25.05,26,35,33,67,51,97,71.66,10672.8,89.8,8.1,8.2,4.9,9.8,7.3,1.42,30.66,48.01,42.71,97
Egypt,EGY,2017,9,9/1/17,262.3,1.04,17.6515,10672.8,30.66,11.74,3.15,-27.35,103.16,-0.54,-0.62,-0.55,-0.86,-1.25,-1.42,32,6,5,4,6,5,44.95,106.76,25.05,26,35,33,67,51,97,71.66,10672.8,89.8,8.1,8.2,4.9,9.8,7.3,1.42,30.66,48.01,42.71,97
Egypt,EGY,2017,10,10/1/17,264.8,0.95,17.6439,10672.8,30.66,11.74,3.15,-27.35,103.16,-0.54,-0.62,-0.55,-0.86,-1.25,-1.42,32,6,5,4,6,5,44.95,106.76,25.05,26,35,33,67,51,97,71.66,10672.8,89.8,8.1,8.2,4.9,9.8,7.3,1.42,30.66,48.01,42.71,97
